,tweet_id,day,month,year,text,rating_numerator,rating_denominator,name,rating,dog_count,stages_of_dog,jpg_url,dog_type_pred,dog_conf,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url
0,667453023279554560,19,11,2015,Meet Cupcake. I would do unspeakable things for Cupcake. 11/10 https://t.co/6uLCWR9Efa,11.0,10.0,Cupcake,11.0,1.0,None,https://pbs.twimg.com/media/CUNE_OSUwAAdHhX.jpg,Labrador Retriever,0.8256700000000001,320,93,6882958,8,Twitter Web Client,Original tweet,https://t.co/6uLCWR9Efa
1,667455448082227200,19,11,2015,This is Reese and Twips. Reese protects Twips. Both think they're too good for seat belts. Simply reckless. 7/10s https://t.co/uLzRi1drVK,7.0,10.0,Reese,7.0,1.0,None,https://pbs.twimg.com/media/CUNHMXTU8AAS3HH.jpg,Tibetan Terrier,0.676376,195,65,6882958,8,Twitter Web Client,Original tweet,https://t.co/uLzRi1drVK
2,667470559035432960,19,11,2015,This is a northern Wahoo named Kohl. He runs this town. Chases tumbleweeds. Draws gun wicked fast. 11/10 legendary https://t.co/J4vn2rOYFk,11.0,10.0,a,11.0,1.0,None,https://pbs.twimg.com/media/CUNU78YWEAECmpB.jpg,Toy Poodle,0.304175,264,101,6882958,8,Twitter Web Client,Original tweet,https://t.co/J4vn2rOYFk
3,667491009379606528,19,11,2015,Two dogs in this one. Both are rare Jujitsu Pythagoreans. One slightly whiter than other. Long legs. 7/10 and 8/10 https://t.co/ITxxcc4v9y,7.0,10.0,None,7.5,2.0,None,https://pbs.twimg.com/media/CUNniSlUYAEj1Jl.jpg,Borzoi,0.852088,549,237,6882958,8,Twitter Web Client,Original tweet,https://t.co/ITxxcc4v9y
4,667495797102141441,20,11,2015,This is Philippe from Soviet Russia. Commanding leader. Misplaced other boot. Hung flag himself. 9/10 charismatic af https://t.co/5NhPV8E45i,9.0,10.0,Philippe,9.0,1.0,None,https://pbs.twimg.com/media/CUNr4-7UwAAg2lq.jpg,Chihuahua,0.143957,541,287,6882958,8,Twitter Web Client,Original tweet,https://t.co/5NhPV8E45i
5,667502640335572993,20,11,2015,Say hello to Hall and Oates. Oates is winking and Hall is contemplating the artistic entropy of the universe. 11/10s https://t.co/n5Wtb5Hvsl,11.0,10.0,Hall,11.0,1.0,None,https://pbs.twimg.com/media/CUNyHTMUYAAQVch.jpg,Labrador Retriever,0.996709,546,227,6882958,8,Twitter Web Client,Original tweet,https://t.co/n5Wtb5Hvsl
6,667517642048163840,20,11,2015,This is Dook &amp; Milo. Dook is struggling to find who he really is and Milo is terrified of what that might be. 8/10s https://t.co/fh5KflzBR0,8.0,10.0,Dook,8.0,1.0,None,https://pbs.twimg.com/media/CUN_wiBUkAAakT0.jpg,Italian Greyhound,0.125176,378,198,6882958,8,Twitter Web Client,Original tweet,https://t.co/fh5KflzBR0
7,667524857454854144,20,11,2015,Another topnotch dog. His name is Big Jumpy Rat. Massive ass feet. Superior tail. Jumps high af. 12/10 great pup https://t.co/seESNzgsdm,12.0,10.0,None,12.0,1.0,None,https://pbs.twimg.com/media/CUOGUfJW4AA_eni.jpg,Chesapeake Bay Retriever,0.08812239999999999,1750,1164,6882958,8,Twitter Web Client,Original tweet,https://t.co/seESNzgsdm
8,667530908589760512,20,11,2015,"Meet Naphaniel. He doesn't necessarily enjoy his day job, but he's damn good at it. 10/10 https://t.co/xoRWyQTcmy",10.0,10.0,Naphaniel,10.0,1.0,None,https://pbs.twimg.com/media/CUOL0uGUkAAx7yh.jpg,Golden Retriever,0.633037,488,253,6882958,8,Twitter Web Client,Original tweet,https://t.co/xoRWyQTcmy
9,667534815156183040,20,11,2015,"This is Frank (pronounced ""Fronq""). Too many boxing gloves, not enough passion. Frank is a lover not a fighter. 8/10 https://t.co/CpPxD28IpV",8.0,10.0,Frank,8.0,1.0,None,https://pbs.twimg.com/media/CUOPYI5UcAAj_nO.jpg,Pembroke,0.435254,844,560,6882958,8,Twitter Web Client,Original tweet,https://t.co/CpPxD28IpV
10,667538891197542400,20,11,2015,"This is a southwest Coriander named Klint. Hat looks expensive. Still on house arrest :(
9/10 https://t.co/IQTOMqDUIe",9.0,10.0,a,9.0,1.0,None,https://pbs.twimg.com/media/CUOTFZOW4AABsfW.jpg,Yorkshire Terrier,0.618957,209,69,6882958,8,Twitter Web Client,Original tweet,https://t.co/IQTOMqDUIe
